Vendor account,Invoice no.,due date,Posting profile,transaction txt,Currency,EX rate,Amount,Amount,Department,Cost center,Purpose
101936,5100073536,20191029,Gen,2019/07/31 E090 ,JPY,100,-324000,-324000,,,
101936,5100074133,20191129,Gen,2019/08/23 E090 ,JPY,100,-324000,-324000,,,
101936,5100074134,20191129,Gen,2019/08/23 E090 ,JPY,100,-318600,-318600,,,
101943-JPY,5100071725,20190927,Gen,2019/04/25 E150 ,JPY,100,-59940,-59940,,,
101943-JPY,5100073249,20191228,Gen,2019/07/17 E150 ,JPY,100,-59940,-59940,,,
101943-JPY,5100073670,20200128,Gen,2019/08/05 E150 ,JPY,100,-109080,-109080,,,
102010,5100074135,20190922,Gen,2019/08/23 N030,USD,10633,-675,-71773,,,
102011-JPY,5100073671,20190930,Gen,2019/08/05 E030 ,JPY,100,-231220,-231220,,,
102011-JPY,5100073672,20190930,Gen,2019/08/05 E030 ,JPY,100,-150480,-150480,,,
102011-JPY,5100073673,20190930,Gen,2019/08/05 E030 ,JPY,100,-838838,-838838,,,
102011-JPY,5100073674,20190930,Gen,2019/08/05 E030 ,JPY,100,-340100,-340100,,,
102011-JPY,5100073675,20190930,Gen,2019/08/05 E030 ,JPY,100,-12212,-12212,,,
102011-JPY,5100073676,20190930,Gen,2019/08/05 E030 ,JPY,100,-7832,-7832,,,
102011-JPY,5100073748,20190930,Gen,2019/08/08 E030 ,JPY,100,-6000,-6000,,,
102011-JPY,5100073749,20190930,Gen,2019/08/08 E030 ,JPY,100,-4180,-4180,,,
102011-JPY,5100073750,20190930,Gen,2019/08/08 E030 ,JPY,100,-8400,-8400,,,
102011-JPY,5100073751,20190930,Gen,2019/08/08 E030 ,JPY,100,-1140,-1140,,,
102011-JPY,5100073752,20190930,Gen,2019/08/08 E030 ,JPY,100,-6000,-6000,,,
102011-JPY,5100073753,20190930,Gen,2019/08/08 E030 ,JPY,100,-1700,-1700,,,
102011-JPY,5100073754,20190930,Gen,2019/08/08 E030 ,JPY,100,-27740,-27740,,,
102011-JPY,5100073755,20190930,Gen,2019/08/08 E030 ,JPY,100,-15300,-15300,,,
